ZIP Code,State,USPS Default City for ZIP,Metro (CBSA),CBSA Code
35976,Alabama,Guntersville,"Albertville, AL",10700
35978,Alabama,Henagar,"Fort Payne, AL",22840
35979,Alabama,Higdon,"Fort Payne, AL",22840
35980,Alabama,Horton,"Albertville, AL",10700
35981,Alabama,Ider,"Fort Payne, AL",22840
35983,Alabama,Leesburg,,
35984,Alabama,Mentone,"Fort Payne, AL",22840
35986,Alabama,Rainsville,"Fort Payne, AL",22840
35987,Alabama,Steele,"Birmingham, AL",13820
35988,Alabama,Sylvania,"Fort Payne, AL",22840
35989,Alabama,Valley Head,"Fort Payne, AL",22840
35990,Alabama,Walnut Grove,"Gadsden, AL",23460
36003,Alabama,Autaugaville,"Montgomery, AL",33860
36005,Alabama,Banks,"Troy, AL",45980
36006,Alabama,Billingsley,"Montgomery, AL",33860
36008,Alabama,Booth,"Montgomery, AL",33860
36009,Alabama,Brantley,,
36010,Alabama,Brundidge,"Troy, AL",45980
36013,Alabama,Cecil,"Montgomery, AL",33860
36015,Alabama,Chapman,,
36016,Alabama,Clayton,"Eufaula, AL-GA",21640
36017,Alabama,Clio,"Eufaula, AL-GA",21640
36020,Alabama,Coosada,"Montgomery, AL",33860
36022,Alabama,Deatsville,"Montgomery, AL",33860
36024,Alabama,Eclectic,"Montgomery, AL",33860
36025,Alabama,Elmore,"Montgomery, AL",33860
36026,Alabama,Equality,"Talladega-Sylacauga, AL",45180
36027,Alabama,Eufaula,"Eufaula, AL-GA",21640
36028,Alabama,Dozier,,
36029,Alabama,Fitzpatrick,,
36030,Alabama,Forest Home,,
36031,Alabama,Fort Davis,,
36032,Alabama,Fort Deposit,"Montgomery, AL",33860
36033,Alabama,Georgiana,,
36034,Alabama,Glenwood,"Troy, AL",45980
36035,Alabama,Goshen,"Troy, AL",45980
36036,Alabama,Grady,"Montgomery, AL",33860
36037,Alabama,Greenville,,
36038,Alabama,Gantt,,
36039,Alabama,Hardaway,"Auburn-Opelika, AL",12220
36040,Alabama,Hayneville,"Montgomery, AL",33860
36041,Alabama,Highland Home,,
36042,Alabama,Honoraville,,
36043,Alabama,Hope Hull,"Montgomery, AL",33860
36046,Alabama,Lapine,,
36047,Alabama,Letohatchee,"Montgomery, AL",33860
36048,Alabama,Louisville,"Eufaula, AL-GA",21640
36049,Alabama,Luverne,,
36051,Alabama,Marbury,"Montgomery, AL",33860
36052,Alabama,Mathews,"Montgomery, AL",33860
36053,Alabama,Midway,,
36054,Alabama,Millbrook,"Montgomery, AL",33860
36057,Alabama,Mount Meigs,"Montgomery, AL",33860
36064,Alabama,Pike Road,"Montgomery, AL",33860
36065,Alabama,Pine Level,"Montgomery, AL",33860
36066,Alabama,Prattville,"Montgomery, AL",33860
36067,Alabama,Prattville,"Montgomery, AL",33860
36068,Alabama,Prattville,"Montgomery, AL",33860
36069,Alabama,Ramer,"Montgomery, AL",33860
36071,Alabama,Rutledge,,
36072,Alabama,Eufaula,"Eufaula, AL-GA",21640
36075,Alabama,Shorter,"Auburn-Opelika, AL",12220
36078,Alabama,Tallassee,"Montgomery, AL",33860
36079,Alabama,Troy,"Troy, AL",45980
36080,Alabama,Titus,"Montgomery, AL",33860
36081,Alabama,Troy,"Troy, AL",45980
36082,Alabama,Troy,"Troy, AL",45980
36083,Alabama,Tuskegee,"Auburn-Opelika, AL",12220
36087,Alabama,Tuskegee Institute,"Auburn-Opelika, AL",12220
36088,Alabama,Tuskegee Institute,"Auburn-Opelika, AL",12220
36089,Alabama,Union Springs,,
36091,Alabama,Verbena,"Birmingham, AL",13820
36092,Alabama,Wetumpka,"Montgomery, AL",33860
36093,Alabama,Wetumpka,"Montgomery, AL",33860
36101,Alabama,Montgomery,"Montgomery, AL",33860
36102,Alabama,Montgomery,"Montgomery, AL",33860
36103,Alabama,Montgomery,"Montgomery, AL",33860
36104,Alabama,Montgomery,"Montgomery, AL",33860
36105,Alabama,Montgomery,"Montgomery, AL",33860
36106,Alabama,Montgomery,"Montgomery, AL",33860
36107,Alabama,Montgomery,"Montgomery, AL",33860
36108,Alabama,Montgomery,"Montgomery, AL",33860
36109,Alabama,Montgomery,"Montgomery, AL",33860
36110,Alabama,Montgomery,"Montgomery, AL",33860
36111,Alabama,Montgomery,"Montgomery, AL",33860
36112,Alabama,Montgomery,"Montgomery, AL",33860
36113,Alabama,Montgomery,"Montgomery, AL",33860
36114,Alabama,Montgomery,"Montgomery, AL",33860
36115,Alabama,Montgomery,"Montgomery, AL",33860
36116,Alabama,Montgomery,"Montgomery, AL",33860
36117,Alabama,Montgomery,"Montgomery, AL",33860
36118,Alabama,Montgomery,"Montgomery, AL",33860
36119,Alabama,Montgomery,"Montgomery, AL",33860
36120,Alabama,Montgomery,"Montgomery, AL",33860
36121,Alabama,Montgomery,"Montgomery, AL",33860
36123,Alabama,Montgomery,"Montgomery, AL",33860
36124,Alabama,Montgomery,"Montgomery, AL",33860
36125,Alabama,Montgomery,"Montgomery, AL",33860
36130,Alabama,Montgomery,"Montgomery, AL",33860
36131,Alabama,Montgomery,"Montgomery, AL",33860
36201,Alabama,Anniston,"Anniston-Oxford, AL",11500
36202,Alabama,Anniston,"Anniston-Oxford, AL",11500
36203,Alabama,Oxford,"Anniston-Oxford, AL",11500
