Name (CSBA),CBSA Code,Metropolitan/Micropolitan Statistical Area,Population
"Grand Forks, ND-MN",24220,Metropolitan Statistical Area,103120
"Moses Lake, WA",34180,Micropolitan Statistical Area,102678
"Bay City, MI",13020,Metropolitan Statistical Area,102500
"Paducah, KY-IL",37140,Metropolitan Statistical Area,102267
"Truckee-Grass Valley, CA",46020,Micropolitan Statistical Area,102037
"Danville, VA",19260,Micropolitan Statistical Area,101408
"Shelby-Kings Mountain, NC",43140,Micropolitan Statistical Area,101378
"Cheyenne, WY",16940,Metropolitan Statistical Area,100984
"Lima, OH",30620,Metropolitan Statistical Area,100838
"Albertville, AL",10700,Micropolitan Statistical Area,100756
"Decatur, IL",19500,Metropolitan Statistical Area,100591
"Salem, OH",41400,Micropolitan Statistical Area,100182
"Rome, GA",40660,Metropolitan Statistical Area,100113
"Hot Springs, AR",26300,Metropolitan Statistical Area,99784
"Brainerd, MN",14660,Micropolitan Statistical Area,99750
"Sevierville, TN",42940,Micropolitan Statistical Area,99415
"Dubuque, IA",20220,Metropolitan Statistical Area,98887
"Victoria, TX",47020,Metropolitan Statistical Area,98808
"Cape Girardeau, MO-IL",16020,Metropolitan Statistical Area,98223
"Corvallis, OR",18700,Metropolitan Statistical Area,97713
"Adrian, MI",10300,Micropolitan Statistical Area,97520
"Bluefield, WV-VA",14140,Micropolitan Statistical Area,97177
"Putnam, CT",39480,Micropolitan Statistical Area,96692
"Helena, MT",25740,Metropolitan Statistical Area,96091
"Statesboro, GA",44340,Micropolitan Statistical Area,95081
"Fairbanks-College, AK",21820,Metropolitan Statistical Area,94840
"Cumberland, MD-WV",19060,Micropolitan Statistical Area,94140
"Greenwood, SC",24940,Micropolitan Statistical Area,93894
"Hermiston-Pendleton, OR",25840,Micropolitan Statistical Area,92355
"Corning, NY",18500,Micropolitan Statistical Area,92162
"Cullman, AL",18980,Micropolitan Statistical Area,92016
"New Philadelphia-Dover, OH",35420,Micropolitan Statistical Area,91874
"Talladega-Sylacauga, AL",45180,Micropolitan Statistical Area,91400
"Pocatello, ID",38540,Metropolitan Statistical Area,90400
"Pikeville, KY",38210,Micropolitan Statistical Area,90396
"Ukiah, CA",46380,Micropolitan Statistical Area,89108
"Hinesville, GA",25980,Metropolitan Statistical Area,88804
"Clarksburg, WV",17220,Micropolitan Statistical Area,88707
"Jefferson, GA",27600,Micropolitan Statistical Area,88615
"Beaver Dam, WI",13180,Micropolitan Statistical Area,88231
"Parkersburg-Vienna, WV",37620,Metropolitan Statistical Area,88052
"Grants Pass, OR",24420,Metropolitan Statistical Area,87821
"Lufkin, TX",31260,Micropolitan Statistical Area,87319
